run_id,read_format,task_id,repeat,disk_write_success,test_success,overall_success,latency_ms
"READ_REP_RAW_M1_EXACT_FILE_rep1","RAW","M1_EXACT_FILE",1,false,false,false,1
"READ_REP_RAW_M1_EXACT_FILE_rep2","RAW","M1_EXACT_FILE",2,false,false,false,1
"READ_REP_RAW_M1_EXACT_FILE_rep3","RAW","M1_EXACT_FILE",3,false,false,false,1
"READ_REP_RAW_M1_EXACT_FILE_rep4","RAW","M1_EXACT_FILE",4,false,false,false,1
"READ_REP_RAW_M1_EXACT_FILE_rep5","RAW","M1_EXACT_FILE",5,false,false,false,1
"READ_REP_RAW_M2_DISCOVER_FILE_rep1","RAW","M2_DISCOVER_FILE",1,false,false,false,1
"READ_REP_RAW_M2_DISCOVER_FILE_rep2","RAW","M2_DISCOVER_FILE",2,false,false,false,1
"READ_REP_RAW_M2_DISCOVER_FILE_rep3","RAW","M2_DISCOVER_FILE",3,false,false,false,1
"READ_REP_RAW_M2_DISCOVER_FILE_rep4","RAW","M2_DISCOVER_FILE",4,false,false,false,1
"READ_REP_RAW_M2_DISCOVER_FILE_rep5","RAW","M2_DISCOVER_FILE",5,false,false,false,1
"READ_REP_RAW_M3_NESTED_FILE_rep1","RAW","M3_NESTED_FILE",1,false,false,false,1
"READ_REP_RAW_M3_NESTED_FILE_rep2","RAW","M3_NESTED_FILE",2,false,false,false,1
"READ_REP_RAW_M3_NESTED_FILE_rep3","RAW","M3_NESTED_FILE",3,false,false,false,0
"READ_REP_RAW_M3_NESTED_FILE_rep4","RAW","M3_NESTED_FILE",4,false,false,false,1
"READ_REP_RAW_M3_NESTED_FILE_rep5","RAW","M3_NESTED_FILE",5,false,false,false,0
"READ_REP_RAW_M4_OVERWRITE_PROOF_rep1","RAW","M4_OVERWRITE_PROOF",1,false,null,false,1
"READ_REP_RAW_M4_OVERWRITE_PROOF_rep2","RAW","M4_OVERWRITE_PROOF",2,false,null,false,1
"READ_REP_RAW_M4_OVERWRITE_PROOF_rep3","RAW","M4_OVERWRITE_PROOF",3,false,null,false,1
"READ_REP_RAW_M4_OVERWRITE_PROOF_rep4","RAW","M4_OVERWRITE_PROOF",4,false,null,false,1
"READ_REP_RAW_M4_OVERWRITE_PROOF_rep5","RAW","M4_OVERWRITE_PROOF",5,false,null,false,1
"READ_REP_RAW_M5_SMALL_PATCH_rep1","RAW","M5_SMALL_PATCH",1,false,null,false,1
"READ_REP_RAW_M5_SMALL_PATCH_rep2","RAW","M5_SMALL_PATCH",2,false,null,false,0
"READ_REP_RAW_M5_SMALL_PATCH_rep3","RAW","M5_SMALL_PATCH",3,false,null,false,1
"READ_REP_RAW_M5_SMALL_PATCH_rep4","RAW","M5_SMALL_PATCH",4,false,null,false,1
"READ_REP_RAW_M5_SMALL_PATCH_rep5","RAW","M5_SMALL_PATCH",5,false,null,false,1
"READ_REP_LINE_NUMBERED_M1_EXACT_FILE_rep1","LINE_NUMBERED","M1_EXACT_FILE",1,false,false,false,1
"READ_REP_LINE_NUMBERED_M1_EXACT_FILE_rep2","LINE_NUMBERED","M1_EXACT_FILE",2,false,false,false,1
"READ_REP_LINE_NUMBERED_M1_EXACT_FILE_rep3","LINE_NUMBERED","M1_EXACT_FILE",3,false,false,false,0
"READ_REP_LINE_NUMBERED_M1_EXACT_FILE_rep4","LINE_NUMBERED","M1_EXACT_FILE",4,false,false,false,1
"READ_REP_LINE_NUMBERED_M1_EXACT_FILE_rep5","LINE_NUMBERED","M1_EXACT_FILE",5,false,false,false,1
"READ_REP_LINE_NUMBERED_M2_DISCOVER_FILE_rep1","LINE_NUMBERED","M2_DISCOVER_FILE",1,false,false,false,0
"READ_REP_LINE_NUMBERED_M2_DISCOVER_FILE_rep2","LINE_NUMBERED","M2_DISCOVER_FILE",2,false,false,false,0
"READ_REP_LINE_NUMBERED_M2_DISCOVER_FILE_rep3","LINE_NUMBERED","M2_DISCOVER_FILE",3,false,false,false,1
"READ_REP_LINE_NUMBERED_M2_DISCOVER_FILE_rep4","LINE_NUMBERED","M2_DISCOVER_FILE",4,false,false,false,0
"READ_REP_LINE_NUMBERED_M2_DISCOVER_FILE_rep5","LINE_NUMBERED","M2_DISCOVER_FILE",5,false,false,false,1
"READ_REP_LINE_NUMBERED_M3_NESTED_FILE_rep1","LINE_NUMBERED","M3_NESTED_FILE",1,false,false,false,0
"READ_REP_LINE_NUMBERED_M3_NESTED_FILE_rep2","LINE_NUMBERED","M3_NESTED_FILE",2,false,false,false,1
"READ_REP_LINE_NUMBERED_M3_NESTED_FILE_rep3","LINE_NUMBERED","M3_NESTED_FILE",3,false,false,false,1
"READ_REP_LINE_NUMBERED_M3_NESTED_FILE_rep4","LINE_NUMBERED","M3_NESTED_FILE",4,false,false,false,0
"READ_REP_LINE_NUMBERED_M3_NESTED_FILE_rep5","LINE_NUMBERED","M3_NESTED_FILE",5,false,false,false,1
