run_id,task_id,candidate,read_format,turns,edit_applied,disk_write_success,test_success,clean_audit,overall_success,total_latency_ms
"EDIT_ABL_A_EXACT_RAW_M1_EXACT_FILE_rep1","M1_EXACT_FILE","A_EXACT_RAW","RAW",8,false,false,false,true,false,14511
"EDIT_ABL_A_EXACT_RAW_M1_EXACT_FILE_rep2","M1_EXACT_FILE","A_EXACT_RAW","RAW",8,true,false,false,true,false,14182
"EDIT_ABL_A_EXACT_RAW_M1_EXACT_FILE_rep3","M1_EXACT_FILE","A_EXACT_RAW","RAW",8,true,true,false,true,false,12169
"EDIT_ABL_A_EXACT_RAW_M1_EXACT_FILE_rep4","M1_EXACT_FILE","A_EXACT_RAW","RAW",8,true,true,false,true,false,12195
"EDIT_ABL_A_EXACT_RAW_M1_EXACT_FILE_rep5","M1_EXACT_FILE","A_EXACT_RAW","RAW",8,false,false,false,true,false,9781
"EDIT_ABL_A_EXACT_RAW_M3_NESTED_FILE_rep1","M3_NESTED_FILE","A_EXACT_RAW","RAW",1,false,false,false,true,false,2767
"EDIT_ABL_A_EXACT_RAW_M3_NESTED_FILE_rep2","M3_NESTED_FILE","A_EXACT_RAW","RAW",1,false,false,false,true,false,2571
"EDIT_ABL_A_EXACT_RAW_M3_NESTED_FILE_rep3","M3_NESTED_FILE","A_EXACT_RAW","RAW",1,false,false,false,true,false,2503
"EDIT_ABL_A_EXACT_RAW_M3_NESTED_FILE_rep4","M3_NESTED_FILE","A_EXACT_RAW","RAW",1,false,false,false,true,false,2517
"EDIT_ABL_A_EXACT_RAW_M3_NESTED_FILE_rep5","M3_NESTED_FILE","A_EXACT_RAW","RAW",1,false,false,false,true,false,2558
"EDIT_ABL_A_EXACT_RAW_M4_OVERWRITE_PROOF_rep1","M4_OVERWRITE_PROOF","A_EXACT_RAW","RAW",1,false,false,null,true,false,2944
"EDIT_ABL_A_EXACT_RAW_M4_OVERWRITE_PROOF_rep2","M4_OVERWRITE_PROOF","A_EXACT_RAW","RAW",1,false,false,null,true,false,2787
"EDIT_ABL_A_EXACT_RAW_M4_OVERWRITE_PROOF_rep3","M4_OVERWRITE_PROOF","A_EXACT_RAW","RAW",1,false,false,null,true,false,2390
"EDIT_ABL_A_EXACT_RAW_M4_OVERWRITE_PROOF_rep4","M4_OVERWRITE_PROOF","A_EXACT_RAW","RAW",1,false,false,null,true,false,2748
"EDIT_ABL_A_EXACT_RAW_M4_OVERWRITE_PROOF_rep5","M4_OVERWRITE_PROOF","A_EXACT_RAW","RAW",1,false,false,null,true,false,2738
"EDIT_ABL_A_EXACT_RAW_M5_SMALL_PATCH_rep1","M5_SMALL_PATCH","A_EXACT_RAW","RAW",8,true,true,null,true,true,12204
"EDIT_ABL_A_EXACT_RAW_M5_SMALL_PATCH_rep2","M5_SMALL_PATCH","A_EXACT_RAW","RAW",8,true,true,null,true,true,11870
"EDIT_ABL_A_EXACT_RAW_M5_SMALL_PATCH_rep3","M5_SMALL_PATCH","A_EXACT_RAW","RAW",8,false,false,null,true,false,14130
"EDIT_ABL_A_EXACT_RAW_M5_SMALL_PATCH_rep4","M5_SMALL_PATCH","A_EXACT_RAW","RAW",8,true,true,null,true,true,12069
"EDIT_ABL_A_EXACT_RAW_M5_SMALL_PATCH_rep5","M5_SMALL_PATCH","A_EXACT_RAW","RAW",8,true,true,null,true,true,12126
"EDIT_ABL_A_EXACT_RAW_M7_LINE_ENDINGS_rep1","M7_LINE_ENDINGS","A_EXACT_RAW","RAW",8,true,true,null,true,true,11989
"EDIT_ABL_A_EXACT_RAW_M7_LINE_ENDINGS_rep2","M7_LINE_ENDINGS","A_EXACT_RAW","RAW",8,true,true,null,true,true,12130
"EDIT_ABL_A_EXACT_RAW_M7_LINE_ENDINGS_rep3","M7_LINE_ENDINGS","A_EXACT_RAW","RAW",8,true,true,null,true,true,12070
"EDIT_ABL_A_EXACT_RAW_M7_LINE_ENDINGS_rep4","M7_LINE_ENDINGS","A_EXACT_RAW","RAW",8,true,true,null,true,true,12008
"EDIT_ABL_A_EXACT_RAW_M7_LINE_ENDINGS_rep5","M7_LINE_ENDINGS","A_EXACT_RAW","RAW",8,true,true,null,true,true,12035
"EDIT_ABL_A_EXACT_RAW_M8_DISTRACTOR_FILES_rep1","M8_DISTRACTOR_FILES","A_EXACT_RAW","RAW",8,true,false,false,true,false,11659
