run_id,task_id,repeat,disk_write_success,test_success,clean_audit,overall_success,latency_ms
"BASE_VERIFY_M1_EXACT_FILE_rep1","M1_EXACT_FILE",1,false,false,true,false,40524
"BASE_VERIFY_M1_EXACT_FILE_rep2","M1_EXACT_FILE",2,false,false,true,false,37609
"BASE_VERIFY_M1_EXACT_FILE_rep3","M1_EXACT_FILE",3,false,false,true,false,43832
"BASE_VERIFY_M1_EXACT_FILE_rep4","M1_EXACT_FILE",4,false,false,true,false,41654
"BASE_VERIFY_M1_EXACT_FILE_rep5","M1_EXACT_FILE",5,false,false,true,false,27917
"BASE_VERIFY_M2_DISCOVER_FILE_rep1","M2_DISCOVER_FILE",1,false,false,true,false,32200
"BASE_VERIFY_M2_DISCOVER_FILE_rep2","M2_DISCOVER_FILE",2,false,false,false,false,51472
"BASE_VERIFY_M2_DISCOVER_FILE_rep3","M2_DISCOVER_FILE",3,true,false,false,false,52156
"BASE_VERIFY_M2_DISCOVER_FILE_rep4","M2_DISCOVER_FILE",4,false,false,false,false,45665
"BASE_VERIFY_M2_DISCOVER_FILE_rep5","M2_DISCOVER_FILE",5,false,false,true,false,26208
"BASE_VERIFY_M3_NESTED_FILE_rep1","M3_NESTED_FILE",1,false,false,true,false,31811
"BASE_VERIFY_M3_NESTED_FILE_rep2","M3_NESTED_FILE",2,false,false,true,false,5366
"BASE_VERIFY_M3_NESTED_FILE_rep3","M3_NESTED_FILE",3,false,false,true,false,11666
"BASE_VERIFY_M3_NESTED_FILE_rep4","M3_NESTED_FILE",4,false,false,true,false,29307
"BASE_VERIFY_M3_NESTED_FILE_rep5","M3_NESTED_FILE",5,false,false,true,false,16212
"BASE_VERIFY_M4_OVERWRITE_PROOF_rep1","M4_OVERWRITE_PROOF",1,false,null,true,false,5935
"BASE_VERIFY_M4_OVERWRITE_PROOF_rep2","M4_OVERWRITE_PROOF",2,false,null,true,false,6426
"BASE_VERIFY_M4_OVERWRITE_PROOF_rep3","M4_OVERWRITE_PROOF",3,false,null,true,false,6682
"BASE_VERIFY_M4_OVERWRITE_PROOF_rep4","M4_OVERWRITE_PROOF",4,false,null,true,false,12680
"BASE_VERIFY_M4_OVERWRITE_PROOF_rep5","M4_OVERWRITE_PROOF",5,false,null,true,false,6665
"BASE_VERIFY_M5_SMALL_PATCH_rep1","M5_SMALL_PATCH",1,false,null,true,false,39138
"BASE_VERIFY_M5_SMALL_PATCH_rep2","M5_SMALL_PATCH",2,false,null,true,false,40261
"BASE_VERIFY_M5_SMALL_PATCH_rep3","M5_SMALL_PATCH",3,false,null,true,false,47405
"BASE_VERIFY_M5_SMALL_PATCH_rep4","M5_SMALL_PATCH",4,false,null,true,false,42477
"BASE_VERIFY_M5_SMALL_PATCH_rep5","M5_SMALL_PATCH",5,false,null,true,false,31972
"BASE_VERIFY_M6_PRESERVE_SENTINELS_rep1","M6_PRESERVE_SENTINELS",1,true,null,false,false,61285
