run_id,task_id,failed_turn,failed_tool,error,root_failure,secondary_failures
"20260827T023500Z_CTX_12288_M10_RETRY_RECOVERY_rep1","M10_RETRY_RECOVERY",8,"edit_file","File was edited on disk but test assertion failed or test was not run","TEST_FAILED_AFTER_EDIT","NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT"
"20260827T023500Z_CTX_12288_M10_RETRY_RECOVERY_rep2","M10_RETRY_RECOVERY",8,"edit_file","target_content exact match failed against disk contents","EDIT_TARGET_NOT_FOUND","NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT"
"20260827T023500Z_CTX_12288_M10_RETRY_RECOVERY_rep3","M10_RETRY_RECOVERY",8,"edit_file","target_content exact match failed against disk contents","EDIT_TARGET_NOT_FOUND","NO_READ_BEFORE_EDIT"
"20260827T023500Z_CTX_12288_M10_RETRY_RECOVERY_rep4","M10_RETRY_RECOVERY",8,"edit_file","File was edited on disk but test assertion failed or test was not run","TEST_FAILED_AFTER_EDIT","NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT"
"20260827T023500Z_CTX_12288_M10_RETRY_RECOVERY_rep5","M10_RETRY_RECOVERY",8,"edit_file","File was edited on disk but test assertion failed or test was not run","TEST_FAILED_AFTER_EDIT","NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT;NO_READ_BEFORE_EDIT"
"20260827T023500Z_CTX_12288_M11_CONSTRAINT_RETENTION_rep1","M11_CONSTRAINT_RETENTION",8,"edit_file","target_content exact match failed against disk contents","EDIT_TARGET_NOT_FOUND","none"
"20260827T023500Z_CTX_12288_M11_CONSTRAINT_RETENTION_rep2","M11_CONSTRAINT_RETENTION",8,"edit_file","target_content exact match failed against disk contents","EDIT_TARGET_NOT_FOUND","none"
"20260827T023500Z_CTX_12288_M11_CONSTRAINT_RETENTION_rep3","M11_CONSTRAINT_RETENTION",8,"edit_file","target_content exact match failed against disk contents","EDIT_TARGET_NOT_FOUND","none"
"20260827T023500Z_CTX_12288_M11_CONSTRAINT_RETENTION_rep4","M11_CONSTRAINT_RETENTION",8,"edit_file","target_content exact match failed against disk contents","EDIT_TARGET_NOT_FOUND","none"
"20260827T023500Z_CTX_12288_M11_CONSTRAINT_RETENTION_rep5","M11_CONSTRAINT_RETENTION",8,"edit_file","target_content exact match failed against disk contents","EDIT_TARGET_NOT_FOUND","none"
"20260827T023500Z_CTX_12288_M12_FOCUSED_FILE_rep1","M12_FOCUSED_FILE",8,"edit_file","target_content exact match failed against disk contents","EDIT_TARGET_NOT_FOUND","none"
"20260827T023500Z_CTX_12288_M12_FOCUSED_FILE_rep2","M12_FOCUSED_FILE",8,"edit_file","target_content exact match failed against disk contents","EDIT_TARGET_NOT_FOUND","none"
"20260827T023500Z_CTX_12288_M12_FOCUSED_FILE_rep3","M12_FOCUSED_FILE",1,"edit_file","target_content exact match failed against disk contents","EDIT_TARGET_NOT_FOUND","NO_READ_BEFORE_EDIT"
"20260827T023500Z_CTX_12288_M12_FOCUSED_FILE_rep4","M12_FOCUSED_FILE",8,"edit_file","target_content exact match failed against disk contents","EDIT_TARGET_NOT_FOUND","none"
"20260827T023500Z_CTX_12288_M12_FOCUSED_FILE_rep5","M12_FOCUSED_FILE",8,"edit_file","target_content exact match failed against disk contents","EDIT_TARGET_NOT_FOUND","none"
"20260827T023500Z_CTX_12288_M2_DISCOVER_FILE_rep1","M2_DISCOVER_FILE",4,"edit_file","File was edited on disk but test assertion failed or test was not run","TEST_FAILED_AFTER_EDIT","none"
"20260827T023500Z_CTX_12288_M2_DISCOVER_FILE_rep2","M2_DISCOVER_FILE",4,"edit_file","File was edited on disk but test assertion failed or test was not run","TEST_FAILED_AFTER_EDIT","none"
"20260827T023500Z_CTX_12288_M2_DISCOVER_FILE_rep3","M2_DISCOVER_FILE",4,"edit_file","File was edited on disk but test assertion failed or test was not run","TEST_FAILED_AFTER_EDIT","none"
"20260827T023500Z_CTX_12288_M2_DISCOVER_FILE_rep4","M2_DISCOVER_FILE",7,"edit_file","File was edited on disk but test assertion failed or test was not run","TEST_FAILED_AFTER_EDIT","none"
